,open,high,low,close,adjclose,volume
2020-07-20,185.32599983215334,186.80699462890627,184.93499774932863,186.47500114440916,179.5159252166748,1367490.0
2020-07-21,187.39200143814088,187.6310026168823,186.36500148773194,186.81499834060668,179.84510698318482,2111740.0
2020-07-22,186.71000308990483,188.41699628829957,186.61700220108034,187.62800579071043,180.62649211883544,1965880.0
2020-07-23,187.49599838256836,187.88099517822266,185.4670009613037,186.09900531768798,179.16315326690673,2302050.0
2020-07-24,185.3120054244995,185.78499517440795,184.60099782943726,185.28400411605836,178.3821303367615,2125520.0
2020-07-27,185.74300365448,186.56699829101564,185.3220009803772,186.40499973297122,179.46511325836184,3780310.0
2020-07-28,186.14800539016724,186.7709959983826,185.48800859451296,185.7219973564148,178.8133852958679,3116100.0
2020-07-29,186.1400043487549,187.65399703979494,186.0179937362671,187.30700168609619,180.3330759048462,2325750.0
2020-07-30,186.0140030860901,187.08099822998045,185.0379984855652,186.88050174713132,179.92369022369382,2364740.0
2020-07-31,187.6699987411499,188.07600841522216,185.79300298690796,188.0065058708191,181.00666456222532,3112140.0
2020-08-03,188.68500118255616,189.27199964523317,188.38299760818484,188.92399520874028,181.93246688842777,3316820.0
2020-08-04,188.5489987373352,189.54299793243408,188.50000314712526,189.49099760055546,182.47792997360233,2421090.0
2020-08-05,190.1399968147278,190.52800483703612,189.95499305725096,190.36600189208983,183.31934661865233,2098590.0
2020-08-06,190.19800033569337,191.4759991645813,190.00100317001346,191.3649952888489,184.28073625564576,2457740.0
2020-08-07,190.9120023727417,191.5619965553284,190.26699609756471,191.25100736618043,184.1639163017273,2688000.0
2020-08-10,191.56400575637818,191.9109980583191,190.60699577331545,191.69999952316283,184.5965510368347,1950160.0
2020-08-11,192.00899467468264,192.29100399017335,189.894002532959,190.2670039176941,183.21247510910035,2835310.0
2020-08-12,191.36300077438355,192.54300537109378,191.25799493789674,192.11769790649413,184.987931060791,1937610.0
2020-08-13,191.81499881744386,192.52800025939942,191.40499439239505,191.88600282669069,184.76709413528442,1654340.0
