index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-02-14,123.9174974441528,0,350,0.0,43371.12410545348,102832.77442455292,146203.8985300064,-0.00015797854777643838,-0.025307343133291416,-0.0005323456998435061,-0.03021255496136277,-0.0038405967262932217,-0.01889909634784326
2022-02-15,127.00150260925292,0,350,0.0,44450.525913238525,102832.77442455292,147283.30033779144,0.007382852431691456,-0.01811133108139118,0.02488756817002402,-0.006076903812530232,0.01576672117072042,-0.003430351959617828
2022-02-16,126.89749994277956,0,350,0.0,44414.12497997285,102832.77442455292,147246.89940452576,-0.0002471490873859894,-0.018354003969829003,-0.0008189089446709596,-0.0068908363263131545,0.0008812077558950637,-0.0025521670564749854
2022-02-17,123.2015001296997,0,350,0.0,43120.52504539489,102832.77442455292,145953.29946994781,-0.00878524396648983,-0.02697800353368196,-0.02912586784409832,-0.03581600258223594,-0.021173138152195015,-0.02367126782299578
2022-02-18,121.97250156402588,0,350,0.0,42690.37554740906,102832.77442455292,145523.14997196198,-0.0029471721403215856,-0.029845666853587582,-0.009975516242740512,-0.04543423570946736,-0.0071661613961429005,-0.030667797093467786
2022-02-22,120.8354991912842,1,700,350.0,84584.84943389894,60540.34970760344,145125.19914150238,-0.002734622158304445,-0.03249867238998483,-0.009321792684106267,-0.054332499867529194,-0.010142945264832837,-0.04049968057098863
2022-02-23,118.1639998435974,1,700,0.0,82714.79989051817,60540.34970760344,143255.1495981216,-0.012885767285372718,-0.04496566934585666,-0.022108563837335504,-0.07523985016310142,-0.018412122845487655,-0.05816611832260021
2022-02-24,121.86999912261965,1,700,0.0,85308.99938583375,60540.34970760344,145849.3490934372,0.018108944094457957,-0.02767100604375272,0.031363184082525475,-0.046236427351582954,0.014956856067329216,-0.044079244515017324
2022-02-25,123.3362543106079,0,350,-350.0,43167.68900871276,103708.0387163162,146875.72772502896,0.007037252054750143,-0.02082848183314101,0.01203130547751119,-0.03476140645572745,0.022372677655603468,-0.022692737588250855
2022-02-28,123.57150535583494,0,350,0.0,43250.02687454223,103708.0387163162,146958.06559085843,0.0005605954578391525,-0.020279562727611222,0.001907395733249606,-0.03292031448083321,-0.002442603440647617,-0.025079911669987687
2022-03-01,121.8615036010742,0,350,0.0,42651.52626037597,103708.0387163162,146359.56497669217,-0.004072594530690976,-0.024269566822052946,-0.0138381558906856,-0.046302913927762646,-0.015473503680411893,-0.04016534124486959
2022-03-02,124.14804582595823,0,350,0.0,43451.81603908538,103708.0387163162,147159.85475540158,0.00546797046600167,-0.018934301630656902,0.018763449960122358,-0.028408266376131697,0.018642691757321028,-0.022271439563704254
2022-03-03,122.5804988861084,0,350,0.0,42903.17461013794,103708.0387163162,146611.21332645413,-0.003728200397176029,-0.022591911156973232,-0.012626432654826991,-0.040676003968720065,-0.005254666430088317,-0.027409077007967464
2022-03-04,120.67349996566772,0,350,0.0,42235.7249879837,103708.0387163162,145943.7637042999,-0.004552514142748709,-0.02704157530466811,-0.015557115020493728,-0.05560031771689833,-0.007934042550334475,-0.03512565477505536
2022-03-07,117.0510027885437,0,350,0.0,40967.850975990295,103708.0387163162,144675.8896923065,-0.008687414794662174,-0.03549406871795757,-0.03001899487588111,-0.08395024694013853,-0.029518158313449172,-0.06360696844999092
2022-03-08,116.7670051574707,0,350,0.0,40868.451805114746,103708.0387163162,144576.49052143094,-0.0006870472411605322,-0.03615672985712792,-0.002426272516315331,-0.08617283327956515,-0.00723375351819977,-0.07038060483638353
2022-03-09,120.44350004196168,0,350,0.0,42155.22501468659,103708.0387163162,145863.26373100278,0.008900293574224616,-0.027578241793315694,0.03148573417236222,-0.05740031402872259,0.02569824789143582,-0.04649101517478227
2022-03-10,118.60499982833862,0,350,0.0,41511.74993991852,103708.0387163162,145219.7886562347,-0.00441149511061778,-0.031868075625102854,-0.015264420354627162,-0.07178855186152777,-0.004291813651667864,-0.05058329805284312
2022-03-11,116.61499834060668,0,350,0.0,40815.249419212334,103708.0387163162,144523.28813552854,-0.0047961818919523,-0.03651141242981071,-0.016778394592235957,-0.08736244980342578,-0.012961545123475138,-0.0628892054761121
2022-03-14,114.30499925613402,0,350,0.0,40006.74973964691,103708.0387163162,143714.7884559631,-0.005594251902207303,-0.0419014102935803,-0.019808764887391694,-0.10544067246267486,-0.007421002465963666,-0.069843506993155
2022-03-15,117.5944993972778,1,700,350.0,82316.14957809445,62549.96392726898,144866.11350536344,0.008011180072488688,-0.03422590996424468,0.028778270089243163,-0.07969680252395395,0.021408574170870942,-0.04993018272210081
2022-03-16,121.09649963378904,0,350,-350.0,42383.774871826165,104933.73879909515,147317.51367092133,0.016921832899639,-0.017883242193858728,0.02978030651484964,-0.052289891216521056,0.02238376135718223,-0.028664046659490627
2022-03-17,122.07800455093384,0,350,0.0,42727.30159282684,104933.73879909515,147661.040391922,0.0023318797096185673,-0.015593064053854189,0.008105146887919856,-0.04460856157766446,0.01234781757145198,-0.016670167507049638
2022-03-18,124.4750051498413,0,350,0.0,43566.25180244445,104933.73879909515,148499.9906015396,0.005681594870189599,-0.010000062656403519,0.019634991640999244,-0.025849458670359704,0.011662294827948783,-0.005202285087399394
2022-03-21,123.97450380325316,0,350,0.0,43391.0763311386,104933.73879909515,148324.81513023376,-0.0011796328780645515,-0.01116789913177585,-0.004020898380246218,-0.029766419004108036,-0.00043466036210393355,-0.005634684222383446
2022-03-22,125.65500488281248,0,350,0.0,43979.25170898437,104933.73879909515,148912.99050807953,0.003965454986944117,-0.007246729946137509,0.013555215209622995,-0.016614694010105513,0.0113041136006502,0.005605734267713158
2022-03-23,124.18150215148924,0,350,0.0,43463.52575302123,104933.73879909515,148397.2645521164,-0.003463270425256515,-0.010684902985891753,-0.011726574144002022,-0.02814643471291811,-0.012272698789159042,-0.006735762009605573
2022-03-24,127.33699808120726,0,350,0.0,44567.94932842254,104933.73879909515,149501.6881275177,0.007442344565680603,-0.003322079149883028,0.025410353998364554,-0.0034512915844007175,0.01434391292056647,0.007511533727241559
2022-03-25,127.15350065231324,0,350,0.0,44503.72522830963,104933.73879909515,149437.46402740479,-0.000429587792066477,-0.003750239817302492,-0.0014410378103698607,-0.0048873559531028565,0.005066170567449069,0.01261575900577605
2022-03-28,128.64050464630125,0,350,0.0,45024.17662620544,104933.73879909515,149957.9154253006,0.0034827370852623663,-0.00028056383133046037,0.011694558044878844,0.006750046623896333,0.007144955276586762,0.01985085331623937
2022-03-29,130.97749996185303,0,350,0.0,45842.12498664856,104933.73879909515,150775.8637857437,0.005454519410484693,0.005172425238290312,0.018166869929322704,0.02503954377225215,0.012256547427530462,0.032350703668917236
2022-03-30,129.45050563812256,0,350,0.0,45307.676973342896,104933.73879909515,150241.41577243805,-0.00354465230632095,0.0016094384829192787,-0.011658447627838298,0.013089173934720089,-0.0062937001746978805,0.025853397864886718
2022-03-31,127.45249519348144,0,350,0.0,44608.373317718506,104933.73879909515,149542.11211681366,-0.004654533185999732,-0.00305258588791002,-0.015434551103466032,-0.002547402692743561,-0.015652540713177343,0.009796185789055167
2022-04-01,127.32200450897216,0,350,0.0,44562.70157814025,104933.73879909515,149496.4403772354,-0.0003054105558076836,-0.0033570641517650657,-0.0010238378174644014,-0.003568632382994874,0.0034102225843584133,0.013239815547432032
2022-04-04,129.52200088500976,0,350,0.0,45332.70030975342,104933.73879909515,150266.43910884857,0.005150615825167293,0.0017762607256559537,0.017278995759782978,0.013648700992974216,0.008090938687879357,0.021437876771144504
