index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-05-15,76.37500128746034,0,350,0.0,26731.250450611118,132817.71577477455,159548.96622538567,0.0005355481598789957,0.0636597748359049,0.003205017634441143,0.24127458475945085,0.0039263632504382695,0.019139345886052705
2020-05-18,78.0515016555786,0,350,0.0,27318.02557945251,132817.71577477455,160135.74135422707,0.0036777118819590893,0.06757160902818082,0.021950904613516897,0.26852168476868843,0.03150119163168075,0.05124344972019501
2020-05-19,77.81950244903565,0,350,0.0,27236.82585716248,132817.71577477455,160054.54163193703,-0.00050706807614187,0.06703027754624724,-0.002972386201699262,0.26475114841632563,-0.010484399194493177,0.04022179374273227
2020-05-20,79.27324972152711,0,350,0.0,27745.63740253449,132817.71577477455,160563.35317730904,0.0031789884884496633,0.07042235451539391,0.01868101474233308,0.28837798326527375,0.01665110025908012,0.057542631122022625
2020-05-21,78.1909996986389,0,350,0.0,27366.849894523617,132817.71577477455,160184.56566929817,-0.0023591155797086927,0.06789710446198827,-0.013652146552461941,0.2707888582227709,-0.007773596407737116,0.04932172152370362
2020-05-22,78.44999828338622,0,350,0.0,27457.499399185177,132817.71577477455,160275.21517395973,0.000565906610807243,0.06850143449306523,0.003312383595881041,0.2749981983905765,0.002353711326488428,0.0517915219447842
2020-05-26,78.3264991760254,0,350,0.0,27414.274711608887,132817.71577477455,160231.99048638344,-0.00026969040427982094,0.06821326990922327,-0.0015742397713599532,0.2729910455182578,0.012289184036080147,0.0647171815255525
2020-05-27,78.74600186347962,0,350,0.0,27561.10065221787,132817.71577477455,160378.81642699242,0.0009163334997168704,0.06919210951328325,0.005355820723092375,0.27980895734015543,0.014827297215913804,0.08050405962692198
2020-05-28,78.67049965858459,0,350,0.0,27534.674880504605,132817.71577477455,160352.39065527916,-0.00016477096104072775,0.06901593770186154,-0.0009588068360083524,0.2785818677630729,-0.0021079145460738413,0.07822644940254264
2020-05-29,79.55850081443786,0,350,0.0,27845.475285053253,132817.71577477455,160663.1910598278,0.0019382336819462331,0.07108794039885269,0.011287600303888201,0.2930139888421812,0.004812335824971425,0.08341523717243415
2020-06-01,79.60100150108336,0,350,0.0,27860.350525379177,132817.71577477455,160678.06630015373,9.258648622512133e-05,0.07118710866769229,0.0005342067310269982,0.2937047256183327,0.003751234813537785,0.08747938212763273
2020-06-02,80.25175042152404,0,350,0.0,28088.112647533413,132817.71577477455,160905.82842230797,0.0014175059944321333,0.07270552281538722,0.008175134837114184,0.30428093618967433,0.008210832780053412,0.09640849348603853
2020-06-03,80.75049839019775,0,350,0.0,28262.67443656921,132817.71577477455,161080.39021134377,0.0010848692725886622,0.07386926807562588,0.006214792400838887,0.3123867714404649,0.013648979133831007,0.11137335013578453
2020-06-04,80.24499797821045,0,350,0.0,28085.749292373657,132817.71577477455,160903.4650671482,-0.0010983655053443675,0.07268976711432229,-0.00626002838452655,0.30417119299977036,-0.0033687022311144066,0.10762946425158093
2020-06-05,81.97375264167785,0,350,0.0,28690.813424587246,132817.71577477455,161508.5291993618,0.003760417042361963,0.07672352799574633,0.021543457000732014,0.33226754901775424,0.026211650818398713,0.13666226100471346
